,
SCRAMBLE/CMD,029 
DEMNSEED/CMD,029 =1  12/14/86  NEWDOS80
UPLOAD,030 
CHAT/TXT,030 
INTRO/BAS,030 
CHAIN1,030 
RETREIV/SEC,030 
PRIVUSR,030 
UTILITY,030 
INIT/CMD,030 
MESS80/BAS,030 
CONFIG/DAT,030 
INTRO/DRW,030 
CALLER/NUM,030 
HOST48/BAS,030 
TABDVR/CMD,030 
HEADING/DAT,030 
H48/CMD,030 
SETUP/BAS,030 
GRAPHIC/BAS,030 
SYSTAT/DAT,030 
USERLOG/DAT,030 
KILL/SEC,030 
CMESS/DAT,030 
USR/FIX,030 
LEACHED,030 
CHAT/SEC,030 
FUNCT/SEC,030 
SCAN/SEC,030 
CCG1/DOC,030 
MESSAGE/DAT,030 
DOWNLOAD,030 
ADVE/DOC,030 
METEOR,030 
MNUMB/DAT,030 
LEAVE/MSG,030 
BULL/PCL,030 
CCG/DOC,030 
PRACFL,031 
MONJOUR,031 
BEETOVEN/RGT,031 
MONSORT,031 
PDPRNT,031 
HXI/CMD,031 
MENU,031 
RUN/CMD,031 
ARCHIVER,031 
HXIII/CMD,031 
DIAGFL,031 
PUPDATE,031 
EDITOR,031 
INSFRMS,031 
PDATAOUT,031 
BEETOVEN/LFT,031 
DLYENT,031 
PROCFL,031 
ZAPHXIII/JCL,031 
DLYJOUR,031 
BLLPRT,031 
INIT,031 
ALPHASOR,031 =7  11/26/86  MEDOFSYS
VOICMSTR/CMD,032 
CRAPS/CMD,032 
CHICKEN/CMD,032 
COSKILLR/CMD,032 
PENETRAT/CMD,032 
VOICMSTR/SRC,032 
SILVER/CMD,032 
TENDBAR/CMD,032 
WEERD/CMD,032 
STAR/CMD,032 
SPACEWAR/CMD,032 
SCOLONY/CMD,032 
BOUNCE/CMD,032 =0  11/26/86  NEWDOS80
MCRAS/CR,033 
LOADER3/JCL,033 
MCRAS/ADD,033 
MCRASVC,033 
MCRAS3/OBJ,033 
LOADER3/BLD,033 
MCRAS,033 
MCRAS/CP,033 
MCRAS/CAR,033 
MCRAS/PAD,033 
INPAYOF/DAT,033 
ADDRESS/DAT,033 
MCRAS/IP,033 
MCRAS/SOA,033 
MASMENU,033 
BALANCE/DAT,033 
MCRAS/TE,033 
ACCOUNTS/DAT,033 =30  11/26/86  MAXICRAS
RACE,034 
CARTOON,034 
GALREV,034 
SNOOPY3,034 
LESSON5/TYP,034 
LESSON2/TYP,034 
RIPID,034 
ALLSTAR,034 
HANGMAN,034 
LESSON1/TYP,034 
PERCAL,034 
LESSON3/TYP,034 
INTRO/TYP,034 
HOPPER/BAS,034 
COVER34,034 
FIREMAN/BAS,034 
TYPIST/BAS,034 
FACTORY,034 
PINGPONG/CMD,034 
LESSON4/TYP,034 
PINGPONG/BAS,034 
TRSMAN,034 
LESSON6/TYP,034 
STRDICE,034 =1  12/14/86  NEWDOS80
DATABASE/SEQ,035 
BREAKOUT/CMD,035 
KRIEG/II,035 
SOLITAIR,035 
LOGICSIM,035 
SORT80,035 
SCREEN/PRT,035 
GOTHIC,035 
KBYTER/APR,035 
ESCAPE,035 
COVER/APR,035 
PIAZZA,035 
MICROTXT,035 
SWAT,035 
COVER/MAY,035 
LIFETWO,035 
DATABASE/RND,035 
FILECONV/BAS,035 
KBYTER/MAY,035 
LADDERS/DSK,035 
COVER/I30,035 
KBYTER/I30,035 
FORTRESS/CMD,036 
SAUCERS/CMD,036 
BASLIB/REL,036 
L80/CMD,036 
MSBASCOM/JCL,036 
GRAF/BAS,036 
DEMO1,036 
MS/JCL,036 
DEMO2,036 
BASCOM/CMD,036 
LTC21/BAS,036 
LTC21INS/BAS,036 
BRUN/CMD,036 
MINOTAUR,037 
TIMECHK,037 
STORY,037 
STRIPCON/M,037 
FIVESTUD,037 
CHECKBK,037 
TORION,037 
ROBOTRDR,037 
ALPHA,037 
BASEBALL,037 
DEPTH,037 
DRWGRAPH,037 
SOUNDX,037 
BACKGMN,037 
WORLDWAR,037 
TBUILDER,037 
EPSDUMP,037 
OUTPUT,038 
WHEEL/GP2,038 
SREL,038 
BREL,038 
WFL,038 
MONITOR,038 
IBLOAD/CMD,038 
DATABASE,038 
ICHING,038 
CHECK/INT,038 
CHECK,038 
LGAME,038 
XREL,038 
CLOADCOV,038 
REPORT,038 
MREL,038 
FILCHK,038 
ROBOT,038 
MAZE/BAS,038 
CRATE,038 
LPEN,038 
GRAPHIT,038 
CONVERT,038 
CHECK/BAL,038 =1  12/14/86  NEWDOS80
CARACE/CMD,039 
OWLTREE,039 
CITYVENT,039 
MONOPOLY,039 
MIDWAY,039 
NORMALSI,039 
COSMIC/CMD,039 
TEXTEDIT,039 
INVASION,039 
UNLIST,039 
D,039 
LIFE,039 
SEARCH,039 
ACCTS,039 
TANK,039 
WAGON,039 
BREAKOUT/CMD,039 
BLACKBOX,039 
DATAGEN/SRC,040 
CP80/SRC,040 
DRAW/SRC,040 
EXEC/SRC,040 
MOVEBAR/SRC,040 
SPOOL/SRC,040 
AUTOKEY/SRC,040 
MAIN1/SRC,040 
MX80DVR/SRC,040 
MEMTEST/SRC,040 
KWIKLINE/SRC,040 
DIREC/SRC,040 
CONVERT/SRC,040 
UNIKEY3/SRC,040 
VCMOD/SRC,040 
EDTASM/CMD,040 
SARMOD1/SRC,040 
PART2A/SRC,040 
PART2B/SRC,040 
PART1/SRC,040 
DRAW/CMD,040 
MAXDEM/SRC,040 
NEWTERM/SRC,040 
ALIENINV,041 
SORT/FMS,041 
SOLO,041 
CALORIE,041 
DATA/FMS,041 
COUNTER,041 
KALAH,041 
DEMO/BAS,041 
IRSJOKE,041 
SORT01/FMS,041 
CLRART,041 
SETUP,041 
COMDIR,041 
FMS/CMD,041 
HEXCALC,041 
SKIRACER,041 
WARGAME,041 
SLALOM,041 
USSENT,041 
MLS,041 
SCRMELT,041 
CAL/BAS,041 
MOTCYCLE,041 
CON,041 
LOYD,041 
MINER,041 
MLSRT,041 
CONTROL/FMS,041 =1  12/14/86  NEWDOS80
ELIZA/N2,042 
TICTAC/N2,042 
SLOT/N2,042 
BIORYTHM/N7,042 
MOUSE/N1,042 
ELIZA/N3,042 
SLOT/N3,042 
SLOT/N1,042 
SLOT/N4,042 
LUNAR/N1,042 
LUNAR/N3,042 
BANNER/N1,042 
MOUSE/N2,042 
MISSILE/N1,042 
BOGGLE/N1,042 
CRAPS/N2,042 
HORSE/N1,042 
BIORYTHM/N1,042 
HORSE/N4,042 
BANNER/N2,042 
ELIZA/N1,042 
BIORYTHM/N6,042 
HORSE/N2,042 
LUNAR/N2,042 
CRAPS/N3,042 
BIORYTHM/N2,042 
HORSE/N3,042 
TICTAC/N1,042 
CRAPS/N1,042 
BOGGLE/N2,042 
MISSILE/N2,042 
BIORYTHM/N5,042 
BIORYTHM/N3,042 =0  12/19/86  NEWDOS80
TEST2/DAT,043 
TEST1/DAT,043 
NUMBER/DAT,043 
DEMO/BAS,043 
TEST3/DAT,043 
HANG1/DAT,043 
SPEECH/CMD,043 
HANG2/DAT,043 
HANG3/DAT,043 
RECORD/CMD,043 
HANG5/DAT,043 
HANG4/DAT,043 
VOICE,043 
HANG/BAS,043 
PICTURE2,044 
GRAPHIC/DSK,044 
CATS/DSK,044 
UPPER,044 
COVER/I33,044 
CATS3/DSK,044 
MINOTAUR,044 
DOTS,044 
COPIER,044 
SPACECHS,044 
PICTURE1,044 
DIRWRITR/DIR,044 
STARGNNR,044 
KBYTER/I31,044 
CATS2/DSK,044 
ILIST/CMD,044 
DUCKHUNT,044 
KBYTER/I32,044 
STRIPCON,044 
SANDTIME,044 
SABOTAGE,044 
COVER/I31,044 
RNDSEN,044 
COVER/I32,044 
EXPMOD4,045 
GRAPHIC0,045 
G/JCL,045 
QWERTY/CMD,045 
SKETCH,045 
SCRIPMOD,045 
EXPMODPS,045 
EXPMODP1,045 
SCR4,045 
EXPMODP2,045 
EXPMOD3,045 
RPM,045 
MISSILE/BAS,045 
SCREEN0/CMD,045 
DEMO1,045 
GEAP,045 
EXPMOD1,045 
JOIN,045 
SCR1,045 
DEMO3,045 
SEDIT/BAS,045 
GRBAS48/CMD,045 
EXPMOD2,045 
GRBAS32/CMD,045 
LASER/CMD,045 
GRBAS16/CMD,045 
DEMO2,045 
START/JCL,046 
CONS,046 
MENU,046 
FOOTER/TXT,046 
TOPNOTCH/D,046 
CONVERT,046 
TOPNOTCH/R,046 
DESC,046 
PRINT,046 
EXECUTE,046 
TOPNOTCH/C,046 
NPLOT,046 
VALUES,046 
TOPNOTCH/V,046 
DEFAULT/TXT,046 
RULES,046 
RAPE/TXT,047 
MODIII/DOC,047 
BLACK/BOX,047 
WHITE/BOX,047 
SCRIPLUS/DOC,047 
HOLDBUT/TXT,047 
CHARLES/TXT,047 
VICPROT,047 
WESTERN/PHK,047 
ATTACK/TXT,047 
SILVER/BOX,047 
HW4/TXT,047 
STARFTR/DOC,047 
STERM/DOC,047 
ADVCOL1/TXT,047 
SCRIP/TXT,047 
SCRIPSIT/ZAP,047 
FLOYDNUM/TXT,047 
VC/DOC,047 
MARC/TXT,047 
SUPERU/TXT,047 
EEL/TXT,047 
DAYLIGHT/TXT,047 
CODIR/CMD,047 
EQUAL/DOC,047 
EXCUSES/TXT,047 
MODEM/DOC,047 
BLUE/BOX,047 
NEWTERM/DOC,047 
PHELPS/TXT,047 
SKETCH/BAS,048 
MAC/BAS,048 
M3DEFS/MAC,048 
L80/CMD,048 
SDIR/MAC,048 
M80/CMD,048 
CREF80/CMD,048 
SDIR/CMD,048 
MODIFY/CMD,048 
FORM/DOC,048 
EDIT/CMD,048 
FORM/CMD,048 
TTI/CMD,049 
SOURCE/TBL,049 
ST80III/CMD,049 
MICRONET/TBL,049 
PATCH2/BAS,049 
ITT/CMD,049 
CKSUM/CMD,049 
TEXT/BAS,049 
BUILD/CMD,049 
TERM/CMD,049 
MESSAGE/BAS,049 
SPARTUS2/CMD,049 
H48/CMD,049 
INIT/CMD,049 
SMART80/CMD,049 
MODEM/CMD,049 
SCROLL/CMD,049 
HOST48D/CMD,049 
ASCII/LST,049 
COM48D/CMD,049 
REMOTE/CMD,049 
STERM/CMD,049 
ATB/CMD,049 
PATCH1/BAS,049 
XMODEM/CMD,049 
UPLOAD/BAS,049 
VIDTEX/CMD,049 
RETURN/CMD,049 
CONFIG/DAT,049 
FORUM80/TBL,049 
RIPID/BAS,049 
BTA/CMD,049 
SWITCHES/CMD,049 
DFT/CMD,049 
HOST48/BAS,049 
OMNITERM/CMD,049 
FTYPE/CMD,049 
SPARTUS/TXT,049 
SIGN1,050 
TAIPAN/GAM,050 
BASCOPY/DFO,050 
CLEANUP,050 
CODER,050 
ELECTION,050 
EXPONENT,050 
FORWARD,050 
GEOMETRY,050 
LESS1P2,050 
LESS2P2,050 
LESS2P3,050 
LESS3P1,050 
LESS3P2,050 
LESS3P3,050 
LESSON1,050 
LESSON2,050 
RNDESSAY,050 
SCRIPSIT/LC,050 
ZAPS/TXT,050 
BALLOON,050 =1  12/27/86  DISK-50 
MXP/DOC,051 
MX80TEXT/BAS,051 
DEMON/PRT,051 
HIGHSPHR/SAV,051 
LUCY/HEX,051 
GPTRS/CMD,051 
RULER/PRT,051 
CAR/OK,051 
GRAPH,051 
PACKAGE/PRT,051 
MXP/CMD,051 
BAREFOOT/BAS,051 
PAINT/P5,051 
GPRINT/DOC,051 
EYEKILLR,051 
MX80SET/CMD,051 
PAINT/P4,051 
PAINT/P3,051 
GPRINT/CMD,051 
MIRROR,051 
GPRINT/BAS,051 
GPRINT/CHN,051 
EPSONTTR/BAS,051 
GPNWD/CMD,051 
SPHERE/DAT,051 
MUSIC/PRT,051 
HIGHSPHR/LDR,051 
EPSON2/BAS,051 
SPHLOADR/CMD,051 =960  11/26/86  NEWDOS80
ST80DUC/CMD,052 
ADVINT38/BAS,052 
ATB/CMD,052 
BTA/CMD,052 
BUDGET/BAS,052 
CHECKING/BAS,052 
CKSUM/CMD,052 
COVER/I37,052 
COVER/I38,052 
FTYPE/CMD,052 
GARAGE/DSK,052 
ILIST/BAS,052 
INTRO,052 
LYNX/BAS,052 
MESSAGE/BAS,052 
NUMBER/BAS,052 
PFINIT/BAS,052 
SQUARES/BAS,052 
NEWCLSE/MVN,052 
TURRET/BAS,052 
MOSC2/MIS,052 
BACCARAT/GP2,052 
NEATLIST,052 
ELIMZAP/BAS,052 
ROULETTE/GP2,052 
ADV38/BAS,052 =0  11/26/86  NEWDOS80
NAMES/LST,053 
CUSTSPEC/BAS,053 
DRIV/CMD,053 
DRIV/SRC,053 
DRIV1200/CMD,053 
DRIV1200/SRC,053 
DRIV300/CMD,053 
DRIV300/SRC,053 
DRIV600/CMD,053 
DRIV600/SRC,053 
DRIVPAR/CMD,053 
DRIVPAR/SRC,053 
ENVEL/PCL,053 
LABEL/PCL,053 
LETTER/BAS,053 
LETTER/PCL,053 
MAILFORM/CMD,053 
MAILRITE/CEN,053 
MAILRITE/CMD,053 
SCOPY/CMD,053 
PACKER/CMD,053 
CUSTOMER/PCL,053 =74  11/26/86  SPECDELV
CRANE/CMD,054 
JUNGLE/CMD,054 
AIRTRAF/CMD,054 
MINES/CMD,054 
BLAKHOLE/CMD,054 
TCONV/CMD,054 
GHOST/CMD,054 
RALLY/CMD,054 
DEVILTOW/CMD,054 =0  11/26/86  NEWDOS80
EQUASION,055 
MOON,055 
HURKLE,055 
PCLTOBAS,055 
RESQST80,055 
EMULATOR,055 
ADMATCH,055 
